N,LB,TH,K,weight_mode,vol_target,total_return_pct,cagr_pct,max_drawdown_pct,sharpe_ratio,calmar_ratio,exposure_pct,total_trades,final_nav
30,14,0.65,3,Equal_Weight,False,462.41,95.49,-56.96,1.4,1.68,26.8,178,56241.47
30,14,0.4,3,Equal_Weight,True,556.81,107.63,-53.52,1.38,2.01,33.0,231,65681.12
30,14,0.5,3,Equal_Weight,True,518.5,102.84,-58.91,1.38,1.75,30.8,206,61850.29
30,14,0.4,3,Equal_Weight,False,504.38,101.03,-47.04,1.37,2.15,33.0,231,60437.95
30,14,0.4,5,Inverse_Vol,False,384.22,84.46,-48.57,1.37,1.74,33.0,275,48421.52
30,14,0.65,3,Inverse_Vol,True,458.12,94.91,-63.06,1.37,1.51,26.8,178,55811.81
30,14,0.65,5,Equal_Weight,False,340.37,77.79,-54.04,1.37,1.44,26.8,213,44037.25
30,14,0.5,5,Equal_Weight,False,369.66,82.29,-49.64,1.36,1.66,30.8,249,46966.25
30,14,0.65,5,Inverse_Vol,True,327.99,75.83,-58.83,1.35,1.29,26.8,213,42798.87
30,14,0.5,5,Inverse_Vol,True,353.2,79.78,-53.42,1.34,1.49,30.8,249,45320.4
30,14,0.65,1,Equal_Weight,False,700.49,124.2,-43.9,1.33,2.83,26.8,117,80049.15
30,14,0.65,1,Inverse_Vol,False,700.49,124.2,-43.9,1.33,2.83,26.8,117,80049.15
30,14,0.4,5,Inverse_Vol,True,373.22,82.82,-48.23,1.33,1.72,33.0,275,47321.83
30,14,0.65,3,Equal_Weight,True,428.4,90.82,-63.77,1.33,1.42,26.8,178,52840.45
50,30,0.65,5,Inverse_Vol,False,325.18,75.38,-50.26,1.32,1.5,24.2,157,42517.58
30,14,0.4,5,Equal_Weight,False,357.44,80.43,-49.11,1.31,1.64,33.0,275,45743.56
30,14,0.65,1,Equal_Weight,True,711.66,125.41,-50.17,1.3,2.5,26.8,117,81165.99
30,14,0.65,1,Inverse_Vol,True,711.66,125.41,-50.17,1.3,2.5,26.8,117,81165.99
30,14,0.5,1,Hysteresis_Rank,False,738.81,128.31,-51.96,1.3,2.47,30.8,102,83881.12
50,14,0.65,1,Equal_Weight,False,1027.88,156.12,-78.21,1.3,2.0,26.6,121,112788.18
50,14,0.65,1,Inverse_Vol,False,1027.88,156.12,-78.21,1.3,2.0,26.6,121,112788.18
30,14,0.5,1,Hysteresis_Rank,True,729.97,127.37,-58.64,1.28,2.17,30.8,102,82997.2
30,14,0.4,5,Equal_Weight,True,358.53,80.6,-49.52,1.28,1.63,33.0,275,45853.27
30,14,0.5,5,Equal_Weight,True,333.75,76.74,-56.03,1.28,1.37,30.8,249,43374.55
30,14,0.65,1,Hysteresis_Rank,False,667.67,120.59,-48.12,1.27,2.51,26.8,85,76767.44
30,14,0.5,1,Equal_Weight,True,660.52,119.79,-53.49,1.27,2.24,30.8,139,76051.85
30,14,0.5,1,Inverse_Vol,True,660.52,119.79,-53.49,1.27,2.24,30.8,139,76051.85
30,14,0.5,1,Equal_Weight,False,591.09,111.77,-46.46,1.26,2.41,30.8,139,69108.85
30,14,0.5,1,Inverse_Vol,False,591.09,111.77,-46.46,1.26,2.41,30.8,139,69108.85
30,14,0.65,5,Equal_Weight,True,290.98,69.76,-60.61,1.25,1.15,26.8,213,39097.73
50,14,0.5,1,Equal_Weight,False,837.31,138.36,-77.13,1.24,1.79,30.1,132,93730.93
50,14,0.5,1,Inverse_Vol,False,837.31,138.36,-77.13,1.24,1.79,30.1,132,93730.93
30,14,0.65,1,Hysteresis_Rank,True,579.54,110.39,-55.4,1.21,1.99,26.8,85,67954.4
20,14,0.65,1,Hysteresis_Rank,False,452.09,94.09,-50.93,1.2,1.85,28.2,93,55208.87
50,30,0.5,5,Inverse_Vol,False,278.75,67.68,-51.33,1.2,1.32,30.7,202,37875.42
30,14,0.65,5,Hysteresis_Rank,False,224.11,57.84,-52.4,1.2,1.1,26.8,149,32411.27
50,30,0.65,5,Inverse_Vol,True,260.4,64.48,-55.2,1.19,1.17,24.2,157,36039.68
30,14,0.4,1,Hysteresis_Rank,True,560.72,108.11,-62.77,1.18,1.72,33.0,121,66072.46
50,14,0.65,1,Equal_Weight,True,704.71,124.66,-83.77,1.18,1.49,26.6,121,80471.16
50,14,0.65,1,Inverse_Vol,True,704.71,124.66,-83.77,1.18,1.49,26.6,121,80471.16
30,14,0.4,1,Equal_Weight,True,517.17,102.67,-59.87,1.17,1.71,33.0,159,61716.86
30,14,0.4,1,Inverse_Vol,True,517.17,102.67,-59.87,1.17,1.71,33.0,159,61716.86
50,30,0.4,5,Inverse_Vol,False,276.56,67.31,-48.04,1.16,1.4,34.5,223,37655.79
30,14,0.4,1,Hysteresis_Rank,False,491.78,99.4,-59.59,1.15,1.67,33.0,121,59178.1
20,14,0.5,1,Hysteresis_Rank,False,402.79,87.17,-56.57,1.14,1.54,31.8,113,50279.37
50,14,0.5,1,Equal_Weight,True,607.34,113.69,-82.88,1.14,1.37,30.1,132,70734.33
50,14,0.5,1,Inverse_Vol,True,607.34,113.69,-82.88,1.14,1.37,30.1,132,70734.33
50,30,0.65,3,Inverse_Vol,False,292.62,70.04,-53.66,1.14,1.31,24.2,141,39262.15
50,14,0.4,1,Equal_Weight,False,556.0,107.53,-78.96,1.13,1.36,32.6,146,65600.27
50,14,0.4,1,Inverse_Vol,False,556.0,107.53,-78.96,1.13,1.36,32.6,146,65600.27
30,14,0.4,1,Equal_Weight,False,403.48,87.27,-58.04,1.11,1.5,33.0,159,50347.65
30,14,0.4,1,Inverse_Vol,False,403.48,87.27,-58.04,1.11,1.5,33.0,159,50347.65
30,14,0.5,5,Hysteresis_Rank,False,211.82,55.49,-48.58,1.11,1.14,30.8,172,31182.45
20,14,0.65,1,Hysteresis_Rank,True,355.73,80.17,-59.07,1.1,1.36,28.2,93,45573.15
30,14,0.65,5,Hysteresis_Rank,True,199.35,53.05,-58.99,1.1,0.9,26.8,149,29935.4
30,14,0.4,5,Hysteresis_Rank,True,226.17,58.23,-48.41,1.09,1.2,33.0,197,32616.58
30,14,0.4,5,Hysteresis_Rank,False,213.4,55.8,-48.62,1.09,1.15,33.0,197,31339.8
20,14,0.5,1,Hysteresis_Rank,True,338.63,77.51,-62.21,1.07,1.25,31.8,113,43863.39
